Customer_ID,Customer_Name,Age,Gender,City,State,Employment_Type,Annual_Income,Credit_Score,Customer_Since
C100001,Customer_100001,36,Female,Mumbai,Maharashtra,Business Owner,250000.0,768,2023-12-12
C100002,Customer_100002,30,Female,Gurugram,Haryana,Professional,512000.0,661,2025-06-14
C100003,Customer_100003,44,Male,Ahmedabad,Gujarat,Salaried,452000.0,850,2019-03-20
C100004,Customer_100004,50,Male,Pune,Maharashtra,Salaried,582000.0,787,2021-04-18
C100005,Customer_100005,32,Male,Pune,Maharashtra,Self-Employed,970000.0,697,2019-12-12
C100006,Customer_100006,55,Male,Noida,Uttar Pradesh,Salaried,1066000.0,705,2020-02-02
C100007,Customer_100007,49,Male,Mumbai,Maharashtra,Self-Employed,447000.0,844,2020-08-16
C100008,Customer_100008,28,Female,Jaipur,Rajasthan,Self-Employed,534000.0,697,2019-01-06
C100009,Customer_100009,63,Male,Bengaluru,Karnataka,Business Owner,1283000.0,689,2020-04-01
C100010,Customer_100010,22,Male,Mumbai,Maharashtra,Salaried,1532000.0,795,2020-01-04
C100011,Customer_100011,50,Female,Kolkata,West Bengal,Salaried,1352000.0,629,2024-07-29
C100012,Customer_100012,40,Male,Lucknow,Uttar Pradesh,Professional,250000.0,715,2019-07-20
C100013,Customer_100013,50,Male,Jaipur,Rajasthan,Salaried,1326000.0,725,2017-11-26
C100014,Customer_100014,55,Male,Gurugram,Haryana,Salaried,1591000.0,674,2025-01-26
C100015,Customer_100015,51,Female,Jaipur,Rajasthan,Salaried,250000.0,618,2025-05-28
C100016,Customer_100016,50,Male,Gurugram,Haryana,Salaried,1283000.0,724,2025-04-21
C100017,Customer_100017,58,Female,Kolkata,West Bengal,Salaried,940000.0,765,2018-09-16
C100018,Customer_100018,52,Female,Mumbai,Maharashtra,Salaried,719000.0,676,2020-11-03
C100019,Customer_100019,57,Male,Noida,Uttar Pradesh,Self-Employed,892000.0,643,2019-09-16
C100020,Customer_100020,39,Female,Pune,Maharashtra,Self-Employed,1027000.0,802,2019-06-07
C100021,Customer_100021,30,Male,Kolkata,West Bengal,Professional,1313000.0,754,2025-07-16
C100022,Customer_100022,31,Male,Chennai,Tamil Nadu,Professional,1292000.0,696,2018-03-20
C100023,Customer_100023,48,Male,Bengaluru,Karnataka,Salaried,250000.0,780,2022-08-18
C100024,Customer_100024,44,Other,Lucknow,Uttar Pradesh,Salaried,591000.0,736,2023-09-01
C100025,Customer_100025,24,Male,Gurugram,Haryana,Professional,887000.0,836,2017-08-21
C100026,Customer_100026,30,Male,Ahmedabad,Gujarat,Salaried,1479000.0,763,2025-03-08
C100027,Customer_100027,64,Female,Chennai,Tamil Nadu,Salaried,250000.0,630,2019-02-07
C100028,Customer_100028,53,Male,Gurugram,Haryana,Salaried,606000.0,677,2020-10-29
C100029,Customer_100029,54,Female,Kolkata,West Bengal,Self-Employed,250000.0,680,2022-01-15
C100030,Customer_100030,29,Female,Pune,Maharashtra,Salaried,302000.0,740,2025-02-22
C100031,Customer_100031,23,Female,Pune,Maharashtra,Salaried,1244000.0,700,2026-03-13
C100032,Customer_100032,34,Female,Bengaluru,Karnataka,Salaried,637000.0,647,2019-04-22
C100033,Customer_100033,59,Female,Mumbai,Maharashtra,Business Owner,250000.0,758,2020-10-20
C100034,Customer_100034,43,Male,Kolkata,West Bengal,Salaried,787000.0,785,2022-09-01
C100035,Customer_100035,56,Other,Noida,Uttar Pradesh,Self-Employed,1664000.0,713,2020-10-30
C100036,Customer_100036,42,Female,Delhi,Delhi,Salaried,250000.0,734,2017-10-03
C100037,Customer_100037,43,Female,Noida,Uttar Pradesh,Salaried,1063000.0,657,2024-04-06
C100038,Customer_100038,48,Female,Gurugram,Haryana,Salaried,1477000.0,686,2022-03-30
C100039,Customer_100039,64,Female,Hyderabad,Telangana,Salaried,830000.0,689,2018-03-15
C100040,Customer_100040,40,Female,Ahmedabad,Gujarat,Salaried,1621000.0,756,2022-12-12
C100041,Customer_100041,47,Male,Mumbai,Maharashtra,Professional,586000.0,737,2025-06-09
C100042,Customer_100042,62,Male,Gurugram,Haryana,Salaried,1428000.0,699,2022-12-31
C100043,Customer_100043,37,Female,Jaipur,Rajasthan,Professional,1334000.0,696,2021-06-10
C100044,Customer_100044,58,Female,Chennai,Tamil Nadu,Salaried,837000.0,592,2024-04-01
C100045,Customer_100045,45,Male,Delhi,Delhi,Salaried,255000.0,824,2019-07-13
C100046,Customer_100046,60,Male,Lucknow,Uttar Pradesh,Self-Employed,449000.0,584,2017-11-19
C100047,Customer_100047,42,Female,Pune,Maharashtra,Business Owner,250000.0,747,2021-07-26
C100048,Customer_100048,49,Male,Noida,Uttar Pradesh,Salaried,1088000.0,722,2019-08-06
C100049,Customer_100049,35,Female,Jaipur,Rajasthan,Salaried,1040000.0,703,2021-07-26
C100050,Customer_100050,49,Female,Gurugram,Haryana,Self-Employed,882000.0,719,2023-06-15
C100051,Customer_100051,35,Male,Gurugram,Haryana,Salaried,801000.0,677,2024-11-18
C100052,Customer_100052,48,Male,Bengaluru,Karnataka,Self-Employed,1393000.0,762,2022-07-07
C100053,Customer_100053,56,Female,Chennai,Tamil Nadu,Business Owner,969000.0,635,2022-09-01
C100054,Customer_100054,40,Male,Pune,Maharashtra,Salaried,628000.0,741,2025-11-03
C100055,Customer_100055,40,Female,Pune,Maharashtra,Business Owner,909000.0,676,2025-06-16
C100056,Customer_100056,35,Male,Delhi,Delhi,Salaried,1669000.0,692,2024-04-20
C100057,Customer_100057,53,Male,Kolkata,West Bengal,Professional,1099000.0,694,2025-06-19
C100058,Customer_100058,47,Male,Mumbai,Maharashtra,Professional,694000.0,709,2021-05-21
C100059,Customer_100059,44,Female,Jaipur,Rajasthan,Self-Employed,832000.0,753,2024-02-22
C100060,Customer_100060,22,Female,Jaipur,Rajasthan,Professional,1035000.0,718,2021-12-20
C100061,Customer_100061,25,Female,Lucknow,Uttar Pradesh,Business Owner,682000.0,781,2022-09-23
C100062,Customer_100062,21,Male,Jaipur,Rajasthan,Salaried,646000.0,788,2023-02-21
C100063,Customer_100063,59,Female,Chennai,Tamil Nadu,Salaried,845000.0,740,2017-09-24
C100064,Customer_100064,59,Male,Lucknow,Uttar Pradesh,Salaried,1458000.0,764,2017-02-04
C100065,Customer_100065,24,Female,Chennai,Tamil Nadu,Salaried,1166000.0,850,2025-11-15
C100066,Customer_100066,23,Female,Hyderabad,Telangana,Self-Employed,686000.0,628,2020-05-23
C100067,Customer_100067,56,Male,Noida,Uttar Pradesh,Salaried,1198000.0,790,2017-06-23
C100068,Customer_100068,44,Female,Chennai,Tamil Nadu,Self-Employed,853000.0,820,2018-02-19
C100069,Customer_100069,34,Male,Delhi,Delhi,Salaried,988000.0,748,2017-05-13
C100070,Customer_100070,48,Male,Pune,Maharashtra,Salaried,951000.0,844,2019-03-26
C100071,Customer_100071,31,Female,Gurugram,Haryana,Salaried,250000.0,835,2023-10-16
C100072,Customer_100072,29,Female,Bengaluru,Karnataka,Professional,250000.0,698,2024-09-21
C100073,Customer_100073,37,Male,Pune,Maharashtra,Salaried,941000.0,703,2017-08-02
C100074,Customer_100074,61,Female,Mumbai,Maharashtra,Salaried,509000.0,754,2022-02-08
C100075,Customer_100075,55,Male,Jaipur,Rajasthan,Salaried,250000.0,679,2023-02-26
C100076,Customer_100076,29,Female,Pune,Maharashtra,Professional,521000.0,850,2025-01-04
C100077,Customer_100077,46,Female,Hyderabad,Telangana,Salaried,1220000.0,771,2025-06-05
C100078,Customer_100078,60,Male,Bengaluru,Karnataka,Self-Employed,993000.0,723,2025-04-10
C100079,Customer_100079,63,Female,Kolkata,West Bengal,Salaried,1159000.0,628,2023-09-04
C100080,Customer_100080,55,Female,Jaipur,Rajasthan,Salaried,1031000.0,736,2024-07-03
C100081,Customer_100081,26,Female,Lucknow,Uttar Pradesh,Self-Employed,482000.0,643,2023-12-07
C100082,Customer_100082,31,Male,Pune,Maharashtra,Self-Employed,1161000.0,769,2024-02-05
C100083,Customer_100083,30,Male,Mumbai,Maharashtra,Self-Employed,1084000.0,557,2025-05-26
C100084,Customer_100084,27,Female,Gurugram,Haryana,Salaried,803000.0,810,2018-07-19
C100085,Customer_100085,28,Female,Ahmedabad,Gujarat,Professional,874000.0,692,2017-10-21
C100086,Customer_100086,35,Female,Jaipur,Rajasthan,Self-Employed,1167000.0,610,2019-07-05
C100087,Customer_100087,45,Female,Mumbai,Maharashtra,Professional,550000.0,719,2025-11-10
C100088,Customer_100088,38,Female,Hyderabad,Telangana,Salaried,1285000.0,721,2023-07-22
C100089,Customer_100089,39,Male,Gurugram,Haryana,Salaried,1076000.0,716,2021-05-19
C100090,Customer_100090,32,Male,Gurugram,Haryana,Salaried,851000.0,810,2019-10-21
C100091,Customer_100091,27,Female,Pune,Maharashtra,Business Owner,1462000.0,745,2018-11-10
C100092,Customer_100092,65,Male,Gurugram,Haryana,Business Owner,332000.0,772,2020-06-29
